Country,Date,Exchange Rate ($)
Brazil,1994-01,82.46
Brazil,1994-02,81.36
Brazil,1994-03,81.89
Brazil,1994-04,81.35
Brazil,1994-05,81.2
Brazil,1994-06,82.07
Brazil,1994-07,77.42
Brazil,1994-08,81.26
Brazil,1994-09,84.92
Brazil,1994-10,88.33
Brazil,1994-11,91.46
Brazil,1994-12,93.03
Brazil,1995-01,94.57
Brazil,1995-02,95.2
Brazil,1995-03,89.39
Brazil,1995-04,87.81
Brazil,1995-05,91.17
Brazil,1995-06,91.15
Brazil,1995-07,91.71
Brazil,1995-08,92.9
Brazil,1995-09,93.35
Brazil,1995-10,93.15
Brazil,1995-11,94.53
Brazil,1995-12,95.87
Brazil,1996-01,96.62
Brazil,1996-02,96.77
Brazil,1996-03,96.43
Brazil,1996-04,97.3
Brazil,1996-05,98.17
Brazil,1996-06,98.75
Brazil,1996-07,98.86
Brazil,1996-08,97.95
Brazil,1996-09,97.77
Brazil,1996-10,97.67
Brazil,1996-11,96.99
Brazil,1996-12,97.48
Brazil,1997-01,98.89
Brazil,1997-02,100.09
Brazil,1997-03,100.27
Brazil,1997-04,100.85
Brazil,1997-05,99.94
Brazil,1997-06,99.76
Brazil,1997-07,100.33
Brazil,1997-08,100.78
Brazil,1997-09,99.68
Brazil,1997-10,98.98
Brazil,1997-11,98.88
Brazil,1997-12,101.14
Brazil,1998-01,102.77
Brazil,1998-02,101.57
Brazil,1998-03,101.09
Brazil,1998-04,100.18
Brazil,1998-05,99.91
Brazil,1998-06,100.2
Brazil,1998-07,99.53
Brazil,1998-08,98.52
Brazil,1998-09,95.84
Brazil,1998-10,93.08
Brazil,1998-11,93.07
Brazil,1998-12,91.99
Brazil,1999-01,73.79
Brazil,1999-02,59.2
Brazil,1999-03,61.1
Brazil,1999-04,68.68
Brazil,1999-05,69.75
Brazil,1999-06,67.08
Brazil,1999-07,66.49
Brazil,1999-08,63.15
Brazil,1999-09,62.72
Brazil,1999-10,60.76
Brazil,1999-11,63.07
Brazil,1999-12,66.63
Brazil,2000-01,68.23
Brazil,2000-02,69.44
Brazil,2000-03,71.47
Brazil,2000-04,71.17
