,"Pos 	Standing",National Team,World Cups,Champion,PTS,GP,W,D,L,GS,GA,GD,GDP Per Capita
1,1,Brazil,22,5,247,114,76,19,19,237,108,129,7518.8
2,2,Germany,20,4,225,112,68,21,23,232,130,102,50801.8
3,3,Italy,18,4,156,83,45,21,17,128,77,51,35551.3
4,4,Argentina,18,2,154,86,46,16,24,146,98,48,10729.2
5,5,France,16,2,127,71,38,13,20,131,82,49,37062.53
6,6,England,16,1,118,74,32,22,20,104,68,36,41499.55
7,7,Spain,16,1,110,67,31,17,19,108,75,33,26523.34
8,8,Holland,11,0,104,55,30,14,11,96,52,44,58061
9,9,Uruguay,14,2,88,59,25,13,21,89,76,13,17020.64
10,10,Belgium,14,0,73,51,21,10,20,69,74,-5,51767.79
11,11,Sweden,12,0,70,51,19,13,19,80,73,7,60238.99
12,12,Russia,11,0,67,45,19,10,16,77,54,23,12172.79
13,13,Mexico,17,0,66,60,17,15,28,62,101,-39,9926.42
14,14,Serbia,13,0,63,49,18,9,22,71,71,0,9214.99
15,15,Portugal,8,0,57,35,17,6,12,61,41,20,24262.18
