Country Code,Country Name,Year,Trade (% of GDP)
AUS,Australia,1960,27.0073432
AUS,Australia,1961,27.37980085
AUS,Australia,1962,26.52762943
AUS,Australia,1963,26.79249207
AUS,Australia,1964,28.65142104
AUS,Australia,1965,28.43716318
AUS,Australia,1966,28.01312282
AUS,Australia,1967,26.72895821
AUS,Australia,1968,26.73467292
AUS,Australia,1969,25.24345941
AUS,Australia,1970,26.15009483
AUS,Australia,1971,25.55040987
AUS,Australia,1972,24.75311967
AUS,Australia,1973,25.12692902
AUS,Australia,1974,26.31762017
AUS,Australia,1975,28.96165664
AUS,Australia,1976,26.85392854
AUS,Australia,1977,28.62130596
AUS,Australia,1978,28.16811616
AUS,Australia,1979,29.61469496
AUS,Australia,1980,32.28868062
AUS,Australia,1981,31.59307132
AUS,Australia,1982,30.3148644
AUS,Australia,1983,29.16492947
AUS,Australia,1984,28.53026206
AUS,Australia,1985,32.50061594
AUS,Australia,1986,33.02891291
AUS,Australia,1987,32.52650041
AUS,Australia,1988,32.57830969
AUS,Australia,1989,32.07676323
AUS,Australia,1990,32.16336397
AUS,Australia,1991,32.19686297
AUS,Australia,1992,33.04908535
AUS,Australia,1993,35.40041151
AUS,Australia,1994,36.4587307
AUS,Australia,1995,37.72968806
AUS,Australia,1996,38.25713724
AUS,Australia,1997,38.00869023
AUS,Australia,1998,40.01973365
AUS,Australia,1999,39.08529868
AUS,Australia,2000,40.99410326
AUS,Australia,2001,44.28236726
AUS,Australia,2002,41.49665356
AUS,Australia,2003,40.23152359
AUS,Australia,2004,37.03936205
AUS,Australia,2005,39.19687558
AUS,Australia,2006,41.60727378
AUS,Australia,2007,42.05977293
AUS,Australia,2008,42.88502151
AUS,Australia,2009,45.77553734
AUS,Australia,2010,40.55637683
AUS,Australia,2011,41.85745378
AUS,Australia,2012,43.17744185
AUS,Australia,2013,41.27608116
AUS,Australia,2014,42.47291144
AUS,Australia,2015,41.62562138
AUS,Australia,2016,40.81776197
AUS,Australia,2017,41.93975606
AUS,Australia,2018,43.38222607
AUS,Australia,2019,45.84503974
AUS,Australia,2020,44.03952615
AUS,Australia,2021,40.01698105
BRA,Brazil,1960,12.61547153
BRA,Brazil,1961,12.89339678
BRA,Brazil,1962,9.384850143
BRA,Brazil,1963,17.93998442
BRA,Brazil,1964,12.20580536
BRA,Brazil,1965,12.8920351
BRA,Brazil,1966,12.26329411
BRA,Brazil,1967,11.35438435
BRA,Brazil,1968,12.59062636
BRA,Brazil,1969,13.27592469
BRA,Brazil,1970,14.47917337
BRA,Brazil,1971,14.65091698
BRA,Brazil,1972,16.13195262
BRA,Brazil,1973,16.85618914
BRA,Brazil,1974,20.96777807
BRA,Brazil,1975,18.23433037
BRA,Brazil,1976,16.41554798
BRA,Brazil,1977,15.15524941
BRA,Brazil,1978,14.5778876
BRA,Brazil,1979,16.56688261
BRA,Brazil,1980,20.15540749
BRA,Brazil,1981,19.63292399
BRA,Brazil,1982,16.49117037
BRA,Brazil,1983,21.90035252
BRA,Brazil,1984,23.83007467
BRA,Brazil,1985,20.44976658
BRA,Brazil,1986,15.86065415
BRA,Brazil,1987,16.26239734
BRA,Brazil,1988,17.76724471
BRA,Brazil,1989,14.39087765
BRA,Brazil,1990,15.15560302
BRA,Brazil,1991,16.59207796
BRA,Brazil,1992,19.25337576
BRA,Brazil,1993,19.59932057
BRA,Brazil,1994,18.6747598
BRA,Brazil,1995,16.98446
BRA,Brazil,1996,15.63559148
BRA,Brazil,1997,16.57620926
BRA,Brazil,1998,16.43858493
BRA,Brazil,1999,20.98216647
BRA,Brazil,2000,22.63976136
BRA,Brazil,2001,26.93628502
BRA,Brazil,2002,27.61835741
BRA,Brazil,2003,28.14038472
BRA,Brazil,2004,29.67825248
BRA,Brazil,2005,27.08679521
BRA,Brazil,2006,26.04169988
BRA,Brazil,2007,25.29261137
BRA,Brazil,2008,27.25756942
BRA,Brazil,2009,22.1059756
BRA,Brazil,2010,22.77217811
BRA,Brazil,2011,23.93440518
BRA,Brazil,2012,25.11427361
BRA,Brazil,2013,25.78595733
BRA,Brazil,2014,24.68540582
BRA,Brazil,2015,26.95362594
BRA,Brazil,2016,24.53368208
BRA,Brazil,2017,24.31973437
BRA,Brazil,2018,28.87620337
BRA,Brazil,2019,28.89025787
BRA,Brazil,2020,32.8904521
BRA,Brazil,2021,39.17612215
CHN,China,1960,8.734099721
CHN,China,1961,7.360220725
CHN,China,1962,6.960936156
CHN,China,1963,6.865336858
CHN,China,1964,6.633104293
CHN,China,1965,6.828143022
CHN,China,1966,6.729496479
CHN,China,1967,6.253483447
CHN,China,1968,6.220973568
CHN,China,1969,5.453062889
CHN,China,1970,4.952406018
CHN,China,1971,4.920835199
CHN,China,1972,5.755367497
CHN,China,1973,8.000145127
CHN,China,1974,10.33348658
CHN,China,1975,9.554202994
CHN,China,1976,8.836913605
CHN,China,1977,8.384615385
CHN,China,1978,9.650141541
CHN,China,1979,11.08657813
CHN,China,1980,12.42484853
CHN,China,1981,14.89718198
CHN,China,1982,14.22478722
CHN,China,1983,13.56579411
CHN,China,1984,15.7698783
CHN,China,1985,20.68960589
CHN,China,1986,19.89761565
CHN,China,1987,20.7450034
CHN,China,1988,23.0255314
CHN,China,1989,19.13470709
CHN,China,1990,22.19947333
CHN,China,1991,24.06633472
CHN,China,1992,26.09757739
CHN,China,1993,25.90043019
CHN,China,1994,35.76981499
CHN,China,1995,34.27696906
CHN,China,1996,33.81474547
CHN,China,1997,34.53301736
CHN,China,1998,32.42430463
CHN,China,1999,33.52416176
CHN,China,2000,39.41101485
CHN,China,2001,38.52735928
CHN,China,2002,42.74740363
CHN,China,2003,51.803988
CHN,China,2004,59.50552422
CHN,China,2005,62.20789287
CHN,China,2006,64.4788839
CHN,China,2007,62.19336348
CHN,China,2008,57.61271534
CHN,China,2009,45.18487038
CHN,China,2010,50.71707766
CHN,China,2011,50.74090459
CHN,China,2012,48.26752237
CHN,China,2013,46.74437558
CHN,China,2014,44.90521595
CHN,China,2015,39.46416934
CHN,China,2016,36.89441502
CHN,China,2017,37.63241324
CHN,China,2018,37.5657841
CHN,China,2019,35.89009603
CHN,China,2020,34.58924952
CHN,China,2021,37.43178265
EGY,"Egypt, Arab Rep.",1960,41.69169853
EGY,"Egypt, Arab Rep.",1961,37.3881932
EGY,"Egypt, Arab Rep.",1962,34.57085095
EGY,"Egypt, Arab Rep.",1963,41.34578413
EGY,"Egypt, Arab Rep.",1964,43.27228327
EGY,"Egypt, Arab Rep.",1965,37.26329729
EGY,"Egypt, Arab Rep.",1966,36.8175684
EGY,"Egypt, Arab Rep.",1967,35.93971911
EGY,"Egypt, Arab Rep.",1968,29.26348956
EGY,"Egypt, Arab Rep.",1969,29.98589772
EGY,"Egypt, Arab Rep.",1970,30.6627936
EGY,"Egypt, Arab Rep.",1971,31.02467636
EGY,"Egypt, Arab Rep.",1972,30.08534653
EGY,"Egypt, Arab Rep.",1973,31.6962722
EGY,"Egypt, Arab Rep.",1974,51.66482811
EGY,"Egypt, Arab Rep.",1975,53.71424264
EGY,"Egypt, Arab Rep.",1976,45.08546371
EGY,"Egypt, Arab Rep.",1977,52.9519239
EGY,"Egypt, Arab Rep.",1978,53.83938259
EGY,"Egypt, Arab Rep.",1979,69.46426306
EGY,"Egypt, Arab Rep.",1980,73.38303756
