Country Code,Country Name,Year,Trade (% of GDP)
ABW,Aruba,2006,141.0540602
ABW,Aruba,2007,139.9540997
ABW,Aruba,2008,139.1235999
ABW,Aruba,2009,137.5628965
ABW,Aruba,2010,135.4735883
ABW,Aruba,2011,154.4260906
ABW,Aruba,2012,156.654561
ABW,Aruba,2013,161.8881835
ABW,Aruba,2014,162.8702962
AFE,Africa Eastern and Southern,2006,61.04885409
AFE,Africa Eastern and Southern,2007,66.97218258
AFE,Africa Eastern and Southern,2008,74.62037695
AFE,Africa Eastern and Southern,2009,64.74417857
AFE,Africa Eastern and Southern,2010,64.49842099
AFE,Africa Eastern and Southern,2011,64.934451
AFE,Africa Eastern and Southern,2012,62.82298371
AFE,Africa Eastern and Southern,2013,62.37403519
AFE,Africa Eastern and Southern,2014,59.63535782
AFW,Africa Western and Central,2006,51.31529312
AFW,Africa Western and Central,2007,49.95264542
AFW,Africa Western and Central,2008,51.21121342
AFW,Africa Western and Central,2009,47.32854742
AFW,Africa Western and Central,2010,53.47543355
AFW,Africa Western and Central,2011,60.79523131
AFW,Africa Western and Central,2012,55.76790468
AFW,Africa Western and Central,2013,44.0048481
AFW,Africa Western and Central,2014,43.54267048
AGO,Angola,2006,94.62515933
AGO,Angola,2007,108.0600679
AGO,Angola,2008,121.3647085
AGO,Angola,2009,122.4461441
AGO,Angola,2010,104.1236353
AGO,Angola,2011,99.98250633
AGO,Angola,2012,91.80009734
AGO,Angola,2013,86.81193276
AGO,Angola,2014,79.33292278
ALB,Albania,2006,74.26709024
ALB,Albania,2007,83.20208011
ALB,Albania,2008,77.4517515
ALB,Albania,2009,75.0949144
ALB,Albania,2010,76.54339024
ALB,Albania,2011,81.21856893
ALB,Albania,2012,76.51020062
ALB,Albania,2013,75.87371385
ALB,Albania,2014,75.4078456
ARB,Arab World,2006,89.99190139
ARB,Arab World,2007,94.1002423
ARB,Arab World,2008,98.07917096
ARB,Arab World,2009,90.39130105
ARB,Arab World,2010,87.6105169
ARB,Arab World,2011,90.46262861
ARB,Arab World,2012,92.20580815
ARB,Arab World,2013,91.24160595
ARB,Arab World,2014,89.07394859
ARE,United Arab Emirates,2006,119.4706696
ARE,United Arab Emirates,2007,136.7981529
ARE,United Arab Emirates,2008,148.513544
ARE,United Arab Emirates,2009,153.4619444
ARE,United Arab Emirates,2010,143.8774751
ARE,United Arab Emirates,2011,151.6659419
ARE,United Arab Emirates,2012,164.2493252
ARE,United Arab Emirates,2013,165.275965
ARE,United Arab Emirates,2014,168.4922629
ARG,Argentina,2006,40.43347987
ARG,Argentina,2007,40.94517062
ARG,Argentina,2008,40.40267338
ARG,Argentina,2009,34.05712691
ARG,Argentina,2010,34.97101326
ARG,Argentina,2011,35.206155
ARG,Argentina,2012,30.52654237
ARG,Argentina,2013,29.333929
ARG,Argentina,2014,28.40679365
ARM,Armenia,2006,61.03013798
ARM,Armenia,2007,56.97504709
ARM,Armenia,2008,54.54232796
ARM,Armenia,2009,57.27423574
ARM,Armenia,2010,64.64297597
ARM,Armenia,2011,69.43557366
ARM,Armenia,2012,75.96167596
ARM,Armenia,2013,77.55504816
ARM,Armenia,2014,75.77886696
ASM,American Samoa,2006,229.8174442
ASM,American Samoa,2007,218.1467181
ASM,American Samoa,2008,249.8214286
ASM,American Samoa,2009,161.3333333
ASM,American Samoa,2010,157.9406632
ASM,American Samoa,2011,157.5438596
ASM,American Samoa,2012,176.40625
ASM,American Samoa,2013,173.8244514
ASM,American Samoa,2014,174.8055988
ATG,Antigua and Barbuda,2006,170.2664052
ATG,Antigua and Barbuda,2007,165.3147879
ATG,Antigua and Barbuda,2008,165.8092718
ATG,Antigua and Barbuda,2009,151.0874449
ATG,Antigua and Barbuda,2010,152.8458902
ATG,Antigua and Barbuda,2011,152.3756194
ATG,Antigua and Barbuda,2012,151.5281525
ATG,Antigua and Barbuda,2013,156.2113038
ATG,Antigua and Barbuda,2014,156.1547945
AUS,Australia,2006,41.60727378
AUS,Australia,2007,42.05977293
AUS,Australia,2008,42.88502151
AUS,Australia,2009,45.77553734
AUS,Australia,2010,40.55637683
AUS,Australia,2011,41.85745378
AUS,Australia,2012,43.17744185
AUS,Australia,2013,41.27608116
AUS,Australia,2014,42.47291144
AUT,Austria,2006,98.08831121
AUT,Austria,2007,100.7332541
AUT,Austria,2008,102.0736827
AUT,Austria,2009,87.06223097
AUT,Austria,2010,99.01979624
AUT,Austria,2011,105.1027886
AUT,Austria,2012,105.1521774
AUT,Austria,2013,104.0664141
AUT,Austria,2014,103.5035353
AZE,Azerbaijan,2006,105.2623998
AZE,Azerbaijan,2007,96.64180815
AZE,Azerbaijan,2008,89.24289686
AZE,Azerbaijan,2009,74.74404168
AZE,Azerbaijan,2010,74.98598846
AZE,Azerbaijan,2011,80.50804501
AZE,Azerbaijan,2012,78.26306954
AZE,Azerbaijan,2013,74.67584476
AZE,Azerbaijan,2014,69.4832252
BDI,Burundi,2006,42.4
BDI,Burundi,2007,38.79999877
BDI,Burundi,2008,47.19999958
BDI,Burundi,2009,35.80000356
BDI,Burundi,2010,39.5000054
BDI,Burundi,2011,43.00000284
BDI,Burundi,2012,43.70537319
BDI,Burundi,2013,46.60407909
BDI,Burundi,2014,42.99502581
BEL,Belgium,2006,149.5675093
BEL,Belgium,2007,152.4684469
BEL,Belgium,2008,161.0884478
BEL,Belgium,2009,135.4060405
BEL,Belgium,2010,149.9976731
BEL,Belgium,2011,161.4937237
BEL,Belgium,2012,160.7460302
BEL,Belgium,2013,157.850845
BEL,Belgium,2014,158.7832159
BEN,Benin,2006,39.77469871
BEN,Benin,2007,49.11378415
BEN,Benin,2008,47.77535927
BEN,Benin,2009,44.70262906
BEN,Benin,2010,51.43085995
BEN,Benin,2011,47.21702881
BEN,Benin,2012,50.73673678
BEN,Benin,2013,59.20019183
BEN,Benin,2014,65.26827494
BFA,Burkina Faso,2006,35.10654236
BFA,Burkina Faso,2007,33.77971729
BFA,Burkina Faso,2008,35.38531698
BFA,Burkina Faso,2009,40.29598367
BFA,Burkina Faso,2010,49.07323854
BFA,Burkina Faso,2011,57.4972531
BFA,Burkina Faso,2012,61.23860798
BFA,Burkina Faso,2013,64.0358513
BFA,Burkina Faso,2014,58.82356249
BGD,Bangladesh,2006,38.11192443
BGD,Bangladesh,2007,39.94238265
BGD,Bangladesh,2008,42.62091403
BGD,Bangladesh,2009,40.09279622
BGD,Bangladesh,2010,37.80284267
BGD,Bangladesh,2011,47.42084984
BGD,Bangladesh,2012,48.11092275
BGD,Bangladesh,2013,46.29640272
BGD,Bangladesh,2014,44.5140802
BGR,Bulgaria,2006,111.0474628
BGR,Bulgaria,2007,123.6096462
BGR,Bulgaria,2008,124.7858857
BGR,Bulgaria,2009,92.69264687
BGR,Bulgaria,2010,103.4115842
BGR,Bulgaria,2011,117.4562893
BGR,Bulgaria,2012,123.9935614
BGR,Bulgaria,2013,129.7326591
BGR,Bulgaria,2014,130.2872904
BHR,Bahrain,2006,147.1041811
BHR,Bahrain,2007,137.7850506
BHR,Bahrain,2008,145.8825111
BHR,Bahrain,2009,117.9637254
BHR,Bahrain,2010,120.4723945
BHR,Bahrain,2011,174.155268
BHR,Bahrain,2012,185.8846506
BHR,Bahrain,2013,191.8725541
BHR,Bahrain,2014,175.5678369
BHS,"Bahamas, The",2006,87.5507143
BHS,"Bahamas, The",2007,88.01281556
BHS,"Bahamas, The",2008,87.42922288
BHS,"Bahamas, The",2009,76.52104396
BHS,"Bahamas, The",2010,78.67560243
BHS,"Bahamas, The",2011,88.33368916
BHS,"Bahamas, The",2012,84.25073457
BHS,"Bahamas, The",2013,85.46502821
BHS,"Bahamas, The",2014,83.64545772
