Year,Pos.,Player,Clubs,Transfer Fee
1999,=98,Christian Vieri,Lazio - Inter,49.0
2000,=80,Hernan Crespo,Parma - Lazio,55.0
2000,=61,Luis Figo,Barcelona - Real Madrid,60.0
2001,30,Zinedine Zidane,Juventus - Real Madrid,77.5
2001,86,Gianluigi Buffon,Parma - Juventus,52.0
2009,=50,Kaka,AC Milan - Real Madrid,65.0
2009,14,Cristiano Ronaldo,Manchester United - Real Madrid,94.0
2009,43,Zlatan Ibrahimovic,Inter - Barcelona,69.5
2011,=67,Fernando Torres,Liverpool - Chelsea,59.0
2013,10,Gareth Bale,Tottenham - Real Madrid,100.8
2013,55,Edinson Cavani,Napoli - PSG,64.5
2013,17,Neymar,Santos - Barcelona,86.2
2014,87,Eliaquim Mangala,Porto - Manchester City,51.7
2014,58,David Luiz,Chelsea - PSG,62.5
2014,=23,James Rodriguez,Monaco - Real Madrid,80.0
2014,36,Angel Di Maria,Real Madrid - Manchester United,74.6
2014,21,Luis Suarez,Liverpool - Barcelona,82.3
2015,44,Raheem Sterling,Liverpool - Manchester City,69.1
2015,=31,Kevin De Bruyne,Wolfsburg - Manchester City,75.0
2015,59,Angel Di Maria,Manchester United - PSG,61.6
2015,96,Anthony Martial,Monaco - Manchester United,49.3
2016,15,Gonzalo Higuain,Napoli - Juventus,90.0
2016,=8,Paul Pogba,Juventus - Manchester United,105.0
2016,=69,Hulk,Zenit - Shanghai SIPG,58.6
2016,=89,Alex Teixeira,Shakhtar Donetsk - Jiangsu Suning,50.0
2016,=74,John Stones,Everton - Manchester City,58.0
2017,=83,Alexandre Lacazette,Lyon - Arsenal,53.0
2017,=89,Bernardo Silva,Monaco - Manchester City,50.0
2017,60,Oscar,Chelsea - Shanghai SIPG,60.3
2017,1,Neymar,Barcelona - PSG,222.0
2017,2,Kylian Mbappe,Monaco - PSG,145.0
2017,97,Gylfi Sigurdsson,Swansea City - Everton,49.2
2017,19,Romelu Lukaku,Everton - Manchester United,84.8
2017,76,Kyle Walker,Tottenham - Manchester City,56.7
2017,73,Benjamin Mendy,Monaco - Manchester City,58.2
2017,=8,Ousmane Dembele,Borussia Dortmund - Barcelona,105.0
2017,29,Alvaro Morata,Real Madrid - Chelsea,78.9
2018,=11,Cristiano Ronaldo,Real Madrid - Juventus,100.0
2018,=50,Thomas Lemar,Monaco - Atletico Madrid,65.0
2018,=89,Fabinho,Monaco - Liverpool,50.0
2018,48,Diego Costa,Chelsea - Atletico Madrid,66.0
2018,=4,Philippe Coutinho,Liverpool - Barcelona,120.0
2018,=50,Aymeric Laporte,Athletic Club - Manchester City,65.0
2018,=69,Jorginho,Napoli - Chelsea,58.9
2018,37,Alisson Becker,Roma - Liverpool,73.0
2018,20,Virgil van Dijk,Southampton - Liverpool,84.5
2018,=61,Naby Keita,RB Leipzig - Liverpool,60.0
2018,=23,Kepa Arrizabalaga,Athletic Club - Chelsea,80.0
2018,=69,Fred,Shakhtar Donetsk - Manchester United,58.9
2018,57,Pierre-Emerick Aubameyang,Borussia Dortmund - Arsenal,63.75
2019,56,Christian Pulisic,Borussia Dortmund - Chelsea,64.0
2019,=50,Joao Cancelo,Juventus - Manchester City,65.0
2019,=61,Tanguy Ndombele,Lyon - Tottenham,60.0
2019,=40,Rodri,Atletico Madrid - Manchester City,70.0
2019,46,Riyad Mahrez,Leicester City - Manchester City,67.8
2019,3,Joao Felix,Benfica - Atletico Madrid,126.0
2019,=4,Antoine Griezmann,Atletico Madrid - Barcelona,120.0
2019,=11,Eden Hazard,Chelsea - Real Madrid,100.0
2019,16,Harry Maguire,Leicester City - Manchester United,87.1
2019,=89,Eder Militao,Porto - Real Madrid,50.0
2019,=23,Romelu Lukaku,Manchester United - Inter,80.0
2019,28,Nicolas Pepe,Lille - Arsenal,79.0
2019,=31,Matthijs de Ligt,Ajax - Juventus,75.0
2019,=23,Lucas Hernandez,Atletico Madrid - Bayern Munich,80.0
2019,=40,Luka Jovic,Eintracht Frankfurt - Real Madrid,70.0
2019,=89,Aaron Wan-Bissaka,Crystal Palace - Manchester United,50.0
2019,=31,Frenkie de Jong,Ajax - Barcelona,75.0
2020,=89,Thomas Partey,Atletico Madrid - Arsenal,50.0
2020,45,Ruben Dias,Benfica - Manchester City,68.0
2020,=80,Bruno Fernandes,Sporting C.P. - Manchester United,55.0
2020,78,Ben Chilwell,Leicester City - Chelsea,55.8
2020,=40,Kai Havertz,Bayer Leverkusen - Chelsea,70.0
2020,=83,Timo Werner,RB Leipzig - Chelsea,53.0
2020,=89,Victor Oshimhen,Lille - Napoli,50.0
2020,=98,Leroy Sane,Manchester City - Bayern Munich,49.0
2021,=69,Ben White,Brighton - Arsenal,58.6
2021,18,Jadon Sancho,Borussia Dortmund - Manchester United,85.0
2021,7,Romelu Lukaku,Inter - Chelsea,115.0
2021,6,Jack Grealish,Aston Villa - Manchester City,117.0
2021,=80,Ferran Torres,Manchester City - Barcelona,55.0
2022,88,Jules Kounde,Sevilla - Barcelona,50.0
2022,=50,Alexander Isak,Real Sociedad - Newcastle United,65.0
2022,79,Lisandro Martinez,Ajax - Manchester United,55.3
2022,77,Raheem Sterling,Manchester City - Chelsea,56.2
2022,=74,Richarlison,Everton - Tottenham,58.0
2022,=67,Raphinha,Leeds United - Barcelona,59.0
2022,=61,Erling Haaland,Borussia Dortmund - Manchester City,60.0
2022,49,Marc Cucurella,Brighton - Chelsea,65.1
2022,47,Matthijs de Ligt,Juventus - Bayern Munich,67.0
2022,39,Casemiro,Real Madrid - Manchester United,71.0
2022,=31,Dusan Vlahovic,Fiorentina - Juventus,75.0
2022,=31,Darwin Nunez,Benfica - Liverpool,75.0
2022,=23,Aurelien Tchouameni,Monaco - Real Madrid,80.0
2022,22,Wesley Fofana,Leicester City - Chelsea,80.6
2022,13,Antony,Ajax - Manchester United,95.0
2022,85,Gabriel Jesus,Manchester City - Arsenal,52.3
2022,100,Kalvin Phillips,Leeds United - Manchester City,48.8
